ref	value	Manufacturer Code	Digi-Key Order Code	Farnell Order Code	URL
C1	330nF	0805330nF 25V 10% X7R			Any compatible
C2	100nF	0805100nF 50V 10% X7R			Any compatible
R1	1K	06031K 1%			Any compatible
R2	2K2	06032K2 1%			Any compatible
D1	LED	C566C-RFN-CT0W0BB2		1855525	http://uk.farnell.com/cree/c566c-rfn-ct0w0bb2/led-red-5mm-2-2cd-621nm/dp/2088311?Ntt=C566C-RFN
D2	LED	C566C-RFN-CT0W0BB2		1855525	http://uk.farnell.com/cree/c566c-rfn-ct0w0bb2/led-red-5mm-2-2cd-621nm/dp/2088311?Ntt=C566C-RFN
D3	LED	C566C-RFN-CT0W0BB2		1855525	http://uk.farnell.com/cree/c566c-rfn-ct0w0bb2/led-red-5mm-2-2cd-621nm/dp/2088311?Ntt=C566C-RFN
D4	LED	C566C-RFN-CT0W0BB2		1855525	http://uk.farnell.com/cree/c566c-rfn-ct0w0bb2/led-red-5mm-2-2cd-621nm/dp/2088311?Ntt=C566C-RFN
D5	LED_Bool1	C566C-RFN-CT0W0BB2		1855525	http://uk.farnell.com/cree/c566c-rfn-ct0w0bb2/led-red-5mm-2-2cd-621nm/dp/2088311?Ntt=C566C-RFN
D6	LED_Carry1	C566C-BFN-CS0W0451		2094359	http://uk.farnell.com/cree/c566c-bfn-cs0w0352/led-blue-1-5cd-470nm/dp/2094359?ref=lookahead
D7	LED_Add1	C566C-BFN-CS0W0451		2094359	http://uk.farnell.com/cree/c566c-bfn-cs0w0352/led-blue-1-5cd-470nm/dp/2094359?ref=lookahead
D8	LED_Pass1	C566C-BFN-CS0W0451		2094359	http://uk.farnell.com/cree/c566c-bfn-cs0w0352/led-blue-1-5cd-470nm/dp/2094359?ref=lookahead
D9	LED_Subtract2	C566C-BFN-CS0W0451		2094359	http://uk.farnell.com/cree/c566c-bfn-cs0w0352/led-blue-1-5cd-470nm/dp/2094359?ref=lookahead
D10	LED_Subtract1	C566C-BFN-CS0W0451		2094359	http://uk.farnell.com/cree/c566c-bfn-cs0w0352/led-blue-1-5cd-470nm/dp/2094359?ref=lookahead
J1	Input 0	10117863-5036010LF		2215338	http://uk.farnell.com/fci/10117863-5036010lf/jack-rj45-tht-ra-8p8c/dp/2215338?ref=lookahead
J2	Input 1	10117863-5036010LF		2215338	http://uk.farnell.com/fci/10117863-5036010lf/jack-rj45-tht-ra-8p8c/dp/2215338?ref=lookahead
J3	Ctrl In	10117863-5036010LF		2215338	http://uk.farnell.com/fci/10117863-5036010lf/jack-rj45-tht-ra-8p8c/dp/2215338?ref=lookahead
J4	Ctrl Out	10117863-5036010LF		2215338	http://uk.farnell.com/fci/10117863-5036010lf/jack-rj45-tht-ra-8p8c/dp/2215338?ref=lookahead
J5	Result	10117863-5036010LF		2215338	http://uk.farnell.com/fci/10117863-5036010lf/jack-rj45-tht-ra-8p8c/dp/2215338?ref=lookahead
J6	Boolean Out	10117863-5036010LF		2215338	http://uk.farnell.com/fci/10117863-5036010lf/jack-rj45-tht-ra-8p8c/dp/2215338?ref=lookahead
U1	74AC04	74AC04SC		1014140	http://uk.farnell.com/fairchild-semiconductor/74ac04sc/ic-74ac-cmos-smd-74ac04-soic14/dp/1014140
U2	74AC32	74AC32SC		1014142	http://uk.farnell.com/fairchild-semiconductor/74ac32sc/ic-74ac-cmos-smd-74ac32-soic14/dp/1014142
U7	74AC32	74AC32SC		1014142	http://uk.farnell.com/fairchild-semiconductor/74ac32sc/ic-74ac-cmos-smd-74ac32-soic14/dp/1014142
U9	74AC08	74AC08SC		2120088	http://uk.farnell.com/fairchild-semiconductor/74ac08sc/ic-quad-gate-2i-p-soic-14/dp/2120088
U6	74AC08	74AC08SC		2120088	http://uk.farnell.com/fairchild-semiconductor/74ac08sc/ic-quad-gate-2i-p-soic-14/dp/2120088
U5	74AC86	74AC86SC		1014151	http://uk.farnell.com/fairchild-semiconductor/74ac86sc/ic-74ac-cmos-smd-74ac86-soic14/dp/1014151
U3	74AC283	CD74AC283M	296-32964-5-ND		http://www.digikey.co.uk/product-detail/en/CD74AC283M/296-32964-5-ND/1691845
U15	74AC139	74AC139SC	74AC139SC-ND		http://www.digikey.co.uk/product-detail/en/74AC139SC/74AC139SC-ND/211782
U16	78L05	UA78L05CPK		2112604	http://uk.farnell.com/texas-instruments/ua78l05cpk/regulator-20vin-5v-10-3sot89/dp/2112604
U10	YC124_470R	YC124-JR-07470RL		9235345RL	http://uk.farnell.com/yageo-phycomp/yc124-jr-07470rl/resistor-array-arv341-0804-470r/dp/9235345RL
U14	YC124_470R	YC124-JR-07470RL		9235345RL	http://uk.farnell.com/yageo-phycomp/yc124-jr-07470rl/resistor-array-arv341-0804-470r/dp/9235345RL
U13	YC124_470R	YC124-JR-07470RL		9235345RL	http://uk.farnell.com/yageo-phycomp/yc124-jr-07470rl/resistor-array-arv341-0804-470r/dp/9235345RL
U12	YC124_1K	YC124-JR-071KL		9235361RL	http://uk.farnell.com/yageo-phycomp/yc124-jr-071kl/resistor-array-arv341-0804-1k/dp/9235361RL
U11	YC124_100K	YC124-JR-07100KL		9235469RL	http://uk.farnell.com/yageo-phycomp/yc124-jr-07100kl/resistor-array-arv341-0804-100k/dp/9235469RL
U17	YC124_100K	YC124-JR-07100KL		9235469RL	http://uk.farnell.com/yageo-phycomp/yc124-jr-07100kl/resistor-array-arv341-0804-100k/dp/9235469RL
U4	YC124_100K	YC124-JR-07100KL		9235469RL	http://uk.farnell.com/yageo-phycomp/yc124-jr-07100kl/resistor-array-arv341-0804-100k/dp/9235469RL
U8	YC124_2K2	YC124-JR-072K2L		9235388RL	http://uk.farnell.com/yageo-phycomp/yc124-jr-072k2l/resistor-array-arv341-0804-2k2/dp/9235388RL
