### Positions UOB BUILDACOMP AU iss 1
### Module positions - created on 20/08/2013 16:04:42 ###
### Printed by Pcbnew version pcbnew (2013-05-31 BZR 4019)-stable
## Unit = mm, Angle = deg.
## Side : F.Cu
Ref,Val,Package,PosX,PosY,Rot,Side
C1,330nanoF,SM0805,13.5000,-30.5000,90.0,F.Cu
C2,0.1microF,SM0805,24.5000,-30.5000,270.0,F.Cu
R1,R,SM0603,11.5000,-9.0000,90.0,F.Cu
R2,R,SM0603,6.5000,-30.5000,180.0,F.Cu
U1,74AC04,so-14,52.0000,-50.0000,90.0,F.Cu
U2,74AC32,so-14,50.0000,-33.5000,270.0,F.Cu
U3,74AC283,so-16,35.0000,-42.5000,270.0,F.Cu
U4,YC124 100K,YC124-JR,29.0000,-78.0000,270.0,F.Cu
U5,74AC86,so-14,70.0000,-70.0000,0.0,F.Cu
U6,74AC08,so-14,52.0000,-70.0000,180.0,F.Cu
U7,74AC32,so-14,68.0000,-50.0000,0.0,F.Cu
U8,YC124 R,YC124-JR,25.5000,-61.3000,270.0,F.Cu
U9,74AC08,so-14,68.0000,-33.5000,0.0,F.Cu
U10,YC124 470,YC124-JR,28.0000,-21.0000,180.0,F.Cu
U11,YC124 100K,YC124-JR,82.0000,-70.0000,270.0,F.Cu
U12,YC124 R,YC124-JR,76.0000,-14.0000,180.0,F.Cu
U13,YC124 470,YC124-JR,50.0000,-21.5000,0.0,F.Cu
U14,YC124 470,YC124-JR,22.5000,-49.5000,90.0,F.Cu
U15,74AC139,so-16,34.5000,-66.5000,0.0,F.Cu
U16,78L05,SOT89-34,19.0000,-34.4000,180.0,F.Cu
U17,YC124 100K,YC124-JR,76.0000,-56.0000,270.0,F.Cu
## End
