### UOB BUILDACOMP DMX
### Module positions - created on 29/08/2013 17:09:03 ###
### Printed by Pcbnew version pcbnew (2013-05-31 BZR 4019)-stable
## Unit = mm, Angle = deg.
## Side : F.Cu
Ref,Val,Package,PosX,PosY,Rot,Side
C1,330nF,SM0805,35.0000,-59.5000,180.0,F.Cu
C2,0.1uF,SM0805,35.0000,-48.5000,180.0,F.Cu
U1,74AC139,so-16,81.0000,-76.0000,90.0,F.Cu
U2,74AC139,so-16,68.0000,-76.0000,90.0,F.Cu
U3,74AC139,so-16,112.0000,-57.0000,180.0,F.Cu
U4,YC124 100K,YC124-JR,59.5000,-101.5000,90.0,F.Cu
U5,YC124 470,YC124-JR,44.0000,-43.0000,0.0,F.Cu
U6,YC124 470,YC124-JR,63.5000,-43.0000,0.0,F.Cu
U7,YC124 470,YC124-JR,84.5000,-43.0000,0.0,F.Cu
U8,YC124 470,YC124-JR,104.0000,-43.0000,0.0,F.Cu
U9,74AC04,so-14,74.0000,-89.0000,180.0,F.Cu
U10,74AC04,so-14,62.5000,-56.5000,90.0,F.Cu
U11,74AC04,so-14,86.0000,-56.5000,270.0,F.Cu
U12,74AC04,so-14,98.5000,-56.5000,90.0,F.Cu
U13,YC124 2K2,YC124-JR,117.5000,-47.5000,270.0,F.Cu
U14,78L05,SOT89-34,35.4000,-54.0000,270.0,F.Cu
U15,YC124_100K,YC124-JR,97.0000,-72.4500,0.0,F.Cu
U16,YC124_1K,YC124-JR,100.0000,-106.0000,0.0,F.Cu
## End
