### UOB BUILDACOMP FOUT iss 1
### Module positions - created on 18/09/2013 13:23:23 ###
### Printed by Pcbnew version pcbnew (2013-07-07 BZR 4022)-stable
## Unit = mm, Angle = deg.
## Side : F.Cu
Ref,Val,Package,PosX,PosY,Rot,Side
C1,0.33uf,SM0805,19.5000,-50.5000,0.0,F.Cu
C2,0.1uf,SM0805,24.4000,-50.5000,180.0,F.Cu
U1,74AC244,SOIC20DW,42.0000,-43.5000,90.0,F.Cu
U2,74AC244,SOIC20DW,92.0000,-41.0000,90.0,F.Cu
U4,YC124_470,YC124-JR,32.0000,-31.5000,0.0,F.Cu
U5,YC124,YC124-JR,104.6000,-46.8000,180.0,F.Cu
U6,YC124_470,YC124-JR,52.0000,-31.5000,0.0,F.Cu
U7,YC124_470,YC124-JR,72.0000,-31.5000,0.0,F.Cu
U8,YC124_470,YC124-JR,92.0000,-31.5000,0.0,F.Cu
U9,78L05,SOT89-34,22.3000,-43.1000,180.0,F.Cu
## End
