### UOB BUILDACOMP LSH iss1
## Unit = mm, Angle = deg.
## Side : F.Cu
Ref,Val,Package,PosX,PosY,Rot,Side
C1,330nF,SM0805,18.1000,-38.6500,90.0,F.Cu
C2,100nF,SM0805,27.4500,-38.6500,90.0,F.Cu
U1,74AC157,so-16,58.0500,-25.0500,0.0,F.Cu
U2,74AC157,so-16,40.3000,-25.0000,0.0,F.Cu
U3,74AC125,so-14,75.3500,-25.0000,180.0,F.Cu
U4,YC124_100k,YC124-JR,39.1500,-36.4000,270.0,F.Cu
U5,YC124_100k,YC124-JR,81.5500,-13.7000,270.0,F.Cu
U6,YC124_1k,YC124-JR,66.2000,-14.1500,270.0,F.Cu
U7,YC124_2.2k,YC124-JR,88.1500,-33.7000,270.0,F.Cu
U8,YC124_100k,YC124-JR,80.2000,-38.1500,90.0,F.Cu
U9,YC124_470R,YC124-JR,20.1000,-14.3500,270.0,F.Cu
U10,YC124_470R,YC124-JR,61.3000,-14.1500,90.0,F.Cu
U11,78L05,SOT89-34,22.8000,-37.7000,180.0,F.Cu
## End
