### UOB BUILDACOMP LU iss 1
### Module positions - created on 29/08/2013 16:07:53 ###
### Printed by Pcbnew version pcbnew (2013-05-31 BZR 4019)-stable
## Unit = mm, Angle = deg.
## Side : F.Cu
Ref,Val,Package,PosX,PosY,Rot,Side
C1,330nF,SM0805,36.5000,-43.5000,90.0,F.Cu
C2,0.1uF,SM0805,48.5000,-43.5000,90.0,F.Cu
U1,74AC08,so-14,93.5000,-74.5000,0.0,F.Cu
U2,74AC32,so-14,93.5000,-87.5000,0.0,F.Cu
U3,74AC04,so-14,49.5000,-87.5000,180.0,F.Cu
U4,74AC86,so-14,49.5000,-74.5000,0.0,F.Cu
U5,74AC153,so-16,64.0000,-55.5000,270.0,F.Cu
U6,74AC153,so-16,80.5000,-55.5000,270.0,F.Cu
U7,YC124_100k,YC124-JR,46.5000,-105.5000,90.0,F.Cu
U8,YC124_100k,YC124-JR,46.5000,-102.0000,90.0,F.Cu
U9,YC124_1K,YC124-JR,97.5000,-37.5000,0.0,F.Cu
U10,YC124 470,YC124-JR,72.0000,-41.5000,0.0,F.Cu
U11,74AC139,so-16,40.0000,-95.0000,270.0,F.Cu
U12,YC124_2K2,YC124-JR,37.5000,-107.5000,0.0,F.Cu
U13,78L05,SOT89-34,42.2000,-46.3000,180.0,F.Cu
U14,YC124_100K,YC124-JR,72.6000,-62.9000,0.0,F.Cu
## End
