### UOB BUILDACOMP MUX iss 1
### Module positions - created on 21/08/2013 12:33:23 ###
### Printed by Pcbnew version pcbnew (2013-05-31 BZR 4019)-stable
## Unit = mm, Angle = deg.
## Side : F.Cu
Ref,Val,Package,PosX,PosY,Rot,Side
C1,330nF,SM0805,38.0000,-34.5000,90.0,F.Cu
C2,0.1uF,SM0805,49.0000,-34.5000,90.0,F.Cu
U1,74AC153,so-16,78.0000,-51.0000,180.0,F.Cu
U2,74AC153,so-16,56.0000,-51.0000,180.0,F.Cu
U3,74AC139,so-16,85.0000,-74.0000,0.0,F.Cu
U4,YC124 100K,YC124-JR,109.0000,-84.0000,90.0,F.Cu
U5,YC124 100K,YC124-JR,26.0000,-85.0000,270.0,F.Cu
U6,YC124 100K,YC124-JR,109.0000,-88.0000,90.0,F.Cu
U7,YC124 100K,YC124-JR,26.0000,-89.0000,270.0,F.Cu
U8,YC124 100K,YC124-JR,103.1494,-53.4797,180.0,F.Cu
U9,YC124 470R,YC124-JR,68.0000,-36.0000,0.0,F.Cu
U10,YC124 1K,YC124-JR,93.0000,-31.0000,0.0,F.Cu
U11,YC124 2K2,YC124-JR,68.0974,-71.7423,0.0,F.Cu
U12,78L05,SOT89-34,43.4000,-37.6000,180.0,F.Cu
## End
