### UOB BUILDACOMP RAM
### Module positions - created on 18/09/2013 14:06:30 ###
### Printed by Pcbnew version pcbnew (2013-07-07 BZR 4022)-stable
## Unit = mm, Angle = deg.
## Side : F.Cu
Ref,Val            ,  Package,PosX    , PosY    ,Rot    ,Side
C1,330nF,SM0805,31.8000,-107.7000,90.0,F.Cu
C2,0.1uF,SM0805,43.8000,-107.7000,90.0,F.Cu
U1,AS6C1008_TSOP,TSOP32SP,62.0000,-62.0000,180.0,F.Cu
U2,74AC00,so-14,81.0000,-95.0000,270.0,F.Cu
U3,74AC244,SOIC20DW,62.0000,-95.0000,90.0,F.Cu
U4,YC124_100k,YC124-JR,92.5000,-28.9000,0.0,F.Cu
U5,YC124_100k,YC124-JR,92.5000,-42.4000,0.0,F.Cu
U6,YC124_100k,YC124-JR,94.0000,-103.0000,180.0,F.Cu
U7,YC124_100k,YC124-JR,98.0000,-103.0000,180.0,F.Cu
U8,YC124_2.2k,YC124-JR,85.0000,-128.0000,180.0,F.Cu
U9,YC124_100k,YC124-JR,93.0000,-128.0000,270.0,F.Cu
U10,YC124_470R,YC124-JR,85.1000,-25.8000,270.0,F.Cu
U11,YC124_100k,YC124-JR,33.0000,-125.0000,90.0,F.Cu
U12,YC124_470R,YC124-JR,38.9000,-26.3000,90.0,F.Cu
U13,YC124_100k,YC124-JR,33.0000,-129.0000,90.0,F.Cu
U14,74AC244,SOIC20DW,46.6000,-41.9000,90.0,F.Cu
U15,YC124_1k,YC124-JR,31.5000,-23.0000,0.0,F.Cu
U16,YC124_1k,YC124-JR,92.5000,-22.5000,0.0,F.Cu
U17,78L05,SOT89-34,38.3000,-112.9000,180.0,F.Cu
U18,YC124_470R,YC124-JR,31.5000,-82.9000,270.0,F.Cu
U19,YC124_10k,YC124-JR,53.3000,-84.7000,0.0,F.Cu
U20,YC124_10k,YC124-JR,70.4000,-84.7000,180.0,  F.Cu
## End
