### UOB BUILDACOMP RSH iss 1
### Module positions - created on 18/09/2013 13:55:27 ###
### Printed by Pcbnew version pcbnew (2013-07-07 BZR 4022)-stable
## Unit = mm, Angle = deg.
## Side : F.Cu
Ref,Val,Package,PosX,PosY,Rot,Side
C1,330nF,SM0805,62.7000,-34.9000,0.0,F.Cu
C2,0.1uF,SM0805,72.9000,-33.9000,270.0,F.Cu
U1,74AC157,so-16,58.0500,-25.0500,0.0,F.Cu
U2,74AC157,so-16,40.3000,-25.0000,0.0,F.Cu
U3,74AC125,so-14,75.3500,-25.0000,180.0,F.Cu
U4,YC124_100k,YC124-JR,18.6000,-35.1500,270.0,F.Cu
U5,YC124_100k,YC124-JR,80.1500,-15.3500,270.0,F.Cu
U6,YC124_R,YC124-JR,22.7500,-12.0500,0.0,F.Cu
U7,YC124_R,YC124-JR,88.1500,-33.7000,270.0,F.Cu
U8,YC124_100k,YC124-JR,18.6000,-38.4000,270.0,F.Cu
U9,YC124_470,YC124-JR,80.1500,-11.8500,90.0,F.Cu
U10,YC124_470,YC124-JR,36.6000,-14.1500,270.0,F.Cu
U11,78L05,SOT89-34,68.2000,-34.8000,180.0,F.Cu
## End
